             Run ID             |              name               |              name               | Yield PF (Gb) R1 | Yield PF (Gb) R2 | Avg Q Score R1 | Avg Q Score R2 | % Bases >=Q30 R1 | % Bases >=Q30 R2 | Cluster Density (K/mm^2) R1 | Cluster Density (K/mm^2) R2 | Clusters Raw R1 | Clusters Raw R2 | Clusters PF R1 | Clusters PF R2 | %PF R1 | %PF R2 | Intensity Cycle 1 R1 | Intensity Cycle 1 R2 | Intensity Cycle 20 R1 | Intensity Cycle 20 R2 | % Phasing R1 | % Phasing R2 | % Prephasing R1 | % Prephasing R2 | % Aligned R1 | % Aligned R2 | % Error Rate R1 | % Error Rate R2 
--------------------------------+---------------------------------+---------------------------------+------------------+------------------+----------------+----------------+------------------+------------------+-----------------------------+-----------------------------+-----------------+-----------------+----------------+----------------+--------+--------+----------------------+----------------------+-----------------------+-----------------------+--------------+--------------+-----------------+-----------------+--------------+--------------+-----------------+-----------------
 150602_7001448_0292_AC6DGFANXX | Marsikova-RNA1-2015-05-15       | Marsikova-RNA1-Pool             | 35.14            | 35.14            | 35.9           | 35.6           | 91.4             | 90               | 1107                        | 1107                        | 307500482       | 307500482       | 281084955      | 281084955      | 91.4   | 91.4   | 5426                 | 11940                |                       |                       | 0.075        | 0.086        | 0.151           | 0.142           | 0.6          | 0.6          | 0.6             | 0.73
 150602_7001448_0292_AC6DGFANXX | Sarropoulou-RNADNA-2015-04-21   | Sarropoulou-RNADNA-Pool         | 33.11            | 33.11            | 35             | 34.8           | 87.4             | 86.3             | 1037                        | 1037                        | 287968439       | 287968439       | 264880663      | 264880663      | 92     | 92     | 5356                 | 2213                 |                       |                       | 0.076        | 0.083        | 0.204           | 0.177           | 0.8          | 0.8          | 0.54            | 0.57
 150602_7001448_0292_AC6DGFANXX | Sarropoulou-RNADNA-2015-04-21   | Sarropoulou-RNADNA-Pool         | 33.07            | 33.07            | 35.5           | 35             | 89.6             | 87.2             | 1035                        | 1035                        | 287623955       | 287623955       | 264549931      | 264549931      | 92     | 92     | 5300                 | 2218                 |                       |                       | 0.076        | 0.085        | 0.137           | 0.135           | 0.8          | 0.8          | 0.49            | 0.59
 150602_7001448_0292_AC6DGFANXX | Diag-excap43-2015-05-20         | Diag-excap43-Pool1              | 38.75            | 38.75            | 35.1           | 34.6           | 88.1             | 84.9             | 1230                        | 1230                        | 341705301       | 341705301       | 309972527      | 309972527      | 90.7   | 90.7   | 6117                 | 10115                |                       |                       | 0.079        | 0.088        | 0.178           | 0.16            | 0.6          | 0.6          | 0.64            | 0.77
 150602_7001448_0292_AC6DGFANXX | Diag-excap43-2015-05-20         | Diag-excap43-Pool2              | 36.76            | 36.76            | 35.4           | 35.1           | 89.4             | 88               | 1161                        | 1161                        | 322663732       | 322663732       | 294051741      | 294051741      | 91.1   | 91.1   | 5042                 | 10083                |                       |                       | 0.082        | 0.084        | 0.159           | 0.139           | 0.6          | 0.6          | 0.59            | 0.67
 150602_7001448_0292_AC6DGFANXX | Diag-excap43-2015-05-20         | Diag-excap43-Pool3              | 38.99            | 38.99            | 35.1           | 34.9           | 88.1             | 86.8             | 1239                        | 1239                        | 344144941       | 344144941       | 311883261      | 311883261      | 90.6   | 90.6   | 5069                 | 11349                |                       |                       | 0.077        | 0.084        | 0.17            | 0.146           | 0.6          | 0.5          | 0.63            | 0.72
 150602_7001448_0292_AC6DGFANXX | Diag-excap43-2015-05-20         | Diag-excap43-Pool4              | 39.08            | 39.08            | 35.1           | 34.8           | 88               | 86.4             | 1245                        | 1245                        | 345851594       | 345851594       | 312656494      | 312656494      | 90.4   | 90.4   | 5853                 | 11864                |                       |                       | 0.078        | 0.085        | 0.179           | 0.147           | 0.6          | 0.6          | 0.62            | 0.76
 150602_7001448_0292_AC6DGFANXX | Diag-excap43-2015-05-20         | Diag-excap43-Pool5              | 37.41            | 37.41            | 34.2           | 34.2           | 83.9             | 83.6             | 1279                        | 1279                        | 355274775       | 355274775       | 299276108      | 299276108      | 84.2   | 84.2   | 4823                 | 2165                 |                       |                       | 0.075        | 0.084        | 0.232           | 0.188           | 0.4          | 0.4          | 0.84            | 0.97
 150609_D00132_0121_AC6U5HANXX  | Sorte-excap11-2015-06-01        | Sorte-excap11-PoolG             | 33.47            | 33.47            |                |                |                  |                  | 1077                        | 1077                        | 299129981       | 299129981       | 267721029      | 267721029      | 89.5   | 89.5   |                      | 9170                 |                       |                       | 0.042        | 0.089        | 0.004           | 0.089           | 0.6          | 0.6          | 0.63            | 0.75
 150609_D00132_0121_AC6U5HANXX  | Sorte-excap11-2015-06-01        | Sorte-excap11-poolH             | 34.45            | 34.45            |                |                |                  |                  | 1155                        | 1155                        | 320762493       | 320762493       | 275572372      | 275572372      | 85.9   | 85.9   |                      | 9237                 |                       |                       | 0.052        | 0.091        | 0.026           | 0.088           | 0.5          | 0.4          | 0.72            | 0.84
 150609_D00132_0121_AC6U5HANXX  | Diag-excap44-2015-06-01         | Diag-excap44-561-588-589-590    | 33.87            | 33.87            |                |                |                  |                  | 1058                        | 1058                        | 294042027       | 294042027       | 270930451      | 270930451      | 92.1   | 92.1   |                      | 11475                |                       |                       | 0.08         | 0.084        | 0.078           | 0.084           | 0.7          | 0.6          | 0.56            | 0.79
 150609_D00132_0121_AC6U5HANXX  | Diag-excap44-2015-06-01         | Diag-excap44-591-592-593-594    | 34.91            | 34.91            |                |                |                  |                  | 1095                        | 1095                        | 304196959       | 304196959       | 279306504      | 279306504      | 91.8   | 91.8   |                      | 11145                |                       |                       | 0.08         | 0.083        | 0.075           | 0.081           | 0.6          | 0.6          | 0.57            | 0.84
